County,Cell Sites Served,Cell Sites Out,Percent Out
ADJUNTAS,10,8,80.0%
AGUADA,18,15,83.3%
AGUADILLA,47,45,95.7%
AGUAS BUENAS,20,20,100.0%
AIBONITO,21,19,90.5%
ANASCO,15,14,93.3%
ARECIBO,68,62,91.2%
ARROYO,10,9,90.0%
BARCELONETA,24,22,91.7%
BARRANQUITAS,17,16,94.1%
BAYAMON,153,107,69.9%
CABO ROJO,51,47,92.2%
CAGUAS,91,72,79.1%
CAMUY,17,15,88.2%
CANOVANAS,29,26,89.7%
CAROLINA,130,96,73.8%
CATANO,21,17,81.0%
CAYEY,45,43,95.6%
CEIBA,12,10,83.3%
CIALES,13,11,84.6%
CIDRA,27,27,100.0%
COAMO,21,20,95.2%
COMERIO,18,18,100.0%
COROZAL,22,21,95.5%
CULEBRA,9,8,88.9%
DORADO,45,39,86.7%
FAJARDO,35,32,91.4%
FLORIDA,6,6,100.0%
GUANICA,17,17,100.0%
GUAYAMA,30,29,96.7%
GUAYANILLA,10,9,90.0%
GUAYNABO,95,59,62.1%
GURABO,33,31,93.9%
HATILLO,29,27,93.1%
HORMIGUEROS,10,9,90.0%
HUMACAO,42,40,95.2%
ISABELA,33,32,97.0%
JAYUYA,7,7,100.0%
JUANA DIAZ,32,30,93.8%
JUNCOS,22,22,100.0%
LAJAS,19,17,89.5%
LARES,15,15,100.0%
LAS MARIAS,9,9,100.0%
LAS PIEDRAS,18,18,100.0%
LOIZA,11,11,100.0%
LUQUILLO,13,12,92.3%
MANATI,28,26,92.9%
MARICAO,5,5,100.0%
MAUNABO,11,11,100.0%
MAYAGUEZ,66,58,87.9%
MOCA,19,19,100.0%
MOROVIS,21,21,100.0%
NAGUABO,23,23,100.0%
NARANJITO,23,23,100.0%
OROCOVIS,15,14,93.3%
PATILLAS,15,15,100.0%
PENUELAS,19,17,89.5%
PONCE,101,91,90.1%
QUEBRADILLAS,19,18,94.7%
RINCON,15,14,93.3%
RIO GRANDE,44,41,93.2%
SABANA GRANDE,12,12,100.0%
SALINAS,29,27,93.1%
SAN GERMAN,25,23,92.0%
SAN JUAN,358,224,62.6%
SAN LORENZO,22,22,100.0%
SAN SEBASTIAN,21,19,90.5%
SANTA ISABEL,18,17,94.4%
TOA ALTA,43,33,76.7%
TOA BAJA,54,36,66.7%
TRUJILLO ALTO,45,43,95.6%
UTUADO,21,21,100.0%
VEGA ALTA,27,25,92.6%
VEGA BAJA,34,32,94.1%
VIEQUES,12,12,100.0%
VILLALBA,9,9,100.0%
YABUCOA,31,31,100.0%
YAUCO,19,17,89.5%
