County,Cell Sites Served,Cell Sites Out,Percent Out
ADJUNTAS,10,8,80.0%
AGUADA,18,15,83.3%
AGUADILLA,47,46,97.9%
AGUAS BUENAS,20,20,100.0%
AIBONITO,21,20,95.2%
ANASCO,15,14,93.3%
ARECIBO,69,68,98.6%
ARROYO,10,9,90.0%
BARCELONETA,24,23,95.8%
BARRANQUITAS,18,18,100.0%
BAYAMON,154,112,72.7%
CABO ROJO,52,49,94.2%
CAGUAS,91,81,89.0%
CAMUY,17,15,88.2%
CANOVANAS,29,26,89.7%
CAROLINA,130,110,84.6%
CATANO,21,17,81.0%
CAYEY,46,43,93.5%
CEIBA,12,11,91.7%
CIALES,13,11,84.6%
CIDRA,27,27,100.0%
COAMO,22,21,95.5%
COMERIO,18,18,100.0%
COROZAL,22,21,95.5%
CULEBRA,9,8,88.9%
DORADO,45,40,88.9%
FAJARDO,36,34,94.4%
FLORIDA,6,6,100.0%
GUANICA,17,17,100.0%
GUAYAMA,30,28,93.3%
GUAYANILLA,10,9,90.0%
GUAYNABO,97,67,69.1%
GURABO,33,31,93.9%
HATILLO,29,29,100.0%
HORMIGUEROS,10,9,90.0%
HUMACAO,44,43,97.7%
ISABELA,33,32,97.0%
JAYUYA,7,7,100.0%
JUANA DIAZ,32,30,93.8%
JUNCOS,23,23,100.0%
LAJAS,19,18,94.7%
LARES,15,15,100.0%
LAS MARIAS,9,9,100.0%
LAS PIEDRAS,18,18,100.0%
LOIZA,11,11,100.0%
LUQUILLO,13,12,92.3%
MANATI,28,26,92.9%
MARICAO,5,5,100.0%
MAUNABO,12,12,100.0%
MAYAGUEZ,67,58,86.6%
MOCA,19,18,94.7%
MOROVIS,21,21,100.0%
NAGUABO,23,23,100.0%
NARANJITO,23,23,100.0%
OROCOVIS,15,14,93.3%
PATILLAS,16,16,100.0%
PENUELAS,19,18,94.7%
PONCE,103,100,97.1%
QUEBRADILLAS,20,18,90.0%
RINCON,15,15,100.0%
RIO GRANDE,44,42,95.5%
SABANA GRANDE,13,13,100.0%
SALINAS,29,27,93.1%
SAN GERMAN,25,23,92.0%
SAN JUAN,364,254,69.8%
SAN LORENZO,22,22,100.0%
SAN SEBASTIAN,21,19,90.5%
SANTA ISABEL,18,18,100.0%
TOA ALTA,43,39,90.7%
TOA BAJA,54,43,79.6%
TRUJILLO ALTO,46,45,97.8%
UTUADO,21,21,100.0%
VEGA ALTA,27,25,92.6%
VEGA BAJA,34,32,94.1%
VIEQUES,12,12,100.0%
VILLALBA,9,9,100.0%
YABUCOA,31,31,100.0%
YAUCO,20,18,90.0%
